dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4903474903474903,0.4709621259507563,0.4015997490329041,0.8512095632231967,1.503941898782927,4.452742099761963,8.727425813674927,ok,,1035,828,0,259,,0,1e-05,False,2.471883773803711,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7402597402597403,0.739887282528792,0.7380307136404698,0.838452273411623,0.4882865703294186,20.223472356796265,1.915801763534546,ok,,920,736,0,231,0.4238767176866531,8,1e-05,True,20.043107748031616,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7445652173913043,0.7445652173913043,0.7445652173913043,0.7445652173913043,0,True,False,
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7520435967302452,0.7519773144723487,0.7523317293411751,0.8398681162003208,0.4963428348222318,12.14185905456543,1.0578651428222656,ok,,1466,1172,0,367,0.5350819528102875,10,1e-05,True,12.061479806900024,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7108843537414966,0.717687074829932,0.7108843537414966,0.717687074829932,2,True,False,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7247956403269755,0.724709800552843,0.7248455690187694,0.7921715371822285,0.552314246572942,15.041038990020752,1.7506568431854248,ok,,1467,1173,0,367,0.5375924110412598,14,1e-05,True,14.986045122146606,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7006802721088435,0.7244897959183674,0.7006802721088435,0.7244897959183674,6,True,False,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.678125,0.672206144145757,0.678125,0.7328710937499999,0.6027548013130966,20.539119482040405,1.5055890083312988,ok,,1280,1024,0,320,0.6188806295394897,15,1e-05,True,20.45927619934082,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.65234375,0.65625,0.65234375,0.65625,7,True,False,
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.953781512605042,0.9536614172576188,0.9511664407505172,0.9830919597631448,0.1517899502703318,9.4305739402771,2.4326419830322266,ok,,952,761,0,238,0.2319061532616615,8,1e-05,True,9.380715608596802,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9109947643979056,0.9109947643979056,0.9109947643979056,0.9109947643979056,0,True,False,
MIC,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/MIC,binclass,1319,264,330,104,2,0.9090909090909092,0.8995772562318263,0.7459413873076113,0.8838990793449997,0.2645634118775676,27.437772035598755,3.129908323287964,ok,,1319,1055,0,330,0.2972863018512726,10,1e-05,True,26.748364210128784,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8674242424242424,0.8712121212121212,0.8674242424242424,0.8712121212121212,2,True,False,
PieChart3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/PieChart3,binclass,861,173,216,37,2,0.8842592592592593,0.8504784688995214,0.5687830687830688,0.8745835782872821,0.2678483069324904,12.694320678710938,2.347055196762085,ok,,861,688,0,216,0.2550248578190803,8,1e-05,True,12.554406642913818,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.884393063583815,0.884393063583815,0.884393063583815,0.884393063583815,0,True,False,
PizzaCutter3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/PizzaCutter3,binclass,834,167,209,37,2,0.8899521531100478,0.8463166234064067,0.54,0.893913043478261,0.2497780728012626,20.024790048599243,2.3440592288970947,ok,,834,667,0,209,0.2688858211040497,12,1e-05,True,19.866427659988403,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8922155688622755,0.8982035928143712,0.8922155688622755,0.8982035928143712,4,True,False,
UJI_Pen_Characters,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/UJI_Pen_Characters,multiclass,1091,219,273,80,35,0.5384615384615384,0.5267602845208057,0.5493589743589743,0.9655602451002824,1.3751577156336197,2.8154513835906982,11.10849666595459,ok,,1091,872,0,273,,0,1e-05,False,1.9428551197052,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split | TTT training skipped because n_classes=35 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
analcatdata_authorship,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/analcatdata_authorship,multiclass,672,135,169,69,4,0.9940828402366864,0.9940804879569156,0.9957627118644068,0.9999242768178148,0.0105286731713866,15.234069108963013,1.3275504112243652,ok,,672,537,0,169,0.0005557659605983,8,1e-05,True,14.970654010772703,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,
banknote_authentication,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/banknote_authentication,binclass,1097,220,275,4,2,0.5381818181818182,0.4413918493181166,0.4919639987142398,0.526786670952534,0.6867512734265135,6.946897268295288,0.3176472187042236,ok,,1097,877,0,275,0.6854813098907471,8,1e-05,True,6.897728443145752,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.5818181818181818,0.5818181818181818,0.5818181818181818,0.5818181818181818,0,True,False,
car-evaluation,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/car-evaluation,multiclass,1382,277,346,21,4,0.9942196531791908,0.9941648292711996,0.9775224775224776,0.999906040798234,0.0131637500097029,18.06149935722351,1.0405888557434082,ok,,1382,1105,0,346,0.0001728329662,18,1e-05,True,17.869020462036133,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9855595667870036,1.0,0.9855595667870036,1.0,10,True,False,
