dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_gate_decision,ttt_gate_reason,ttt_gate_confidence_mean,ttt_gate_confidence_p10,ttt_gate_entropy_mean,ttt_gate_entropy_norm_mean,ttt_gate_stability_mean,ttt_gate_probe_seconds
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.49034749034749037,0.4709621259507563,0.40159974903290413,0.8512095632231967,1.5039419252701582,5.584717035293579,4.282513856887817,ok,,1035,828,0,259,,0,1e-05,False,0.8295578956604004,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; confidence_mean=0.478983<threshold=0.700000; entropy_norm_mean=0.624783>threshold=0.450000 | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,,apply_uncertain,uncertain baseline; confidence_mean=0.478983<threshold=0.700000; entropy_norm_mean=0.624783>threshold=0.450000,0.47898341559995555,0.21987946927547455,1.4981651109769292,0.6247833789790801,0.9136100386100386,3.8261566162109375
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7402597402597403,0.739887282528792,0.7380307136404698,0.838452273411623,0.48828655037683244,8.054011344909668,0.9751873016357422,ok,,920,736,0,231,0.4188060164451599,8,1e-05,True,6.731749773025513,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; entropy_norm_mean=0.616982>threshold=0.450000,30,1,epoch_chunk,accuracy,0.7445652173913043,0.7445652173913043,0.7445652173913043,0.7445652173913043,0,True,False,,apply_uncertain,uncertain baseline; entropy_norm_mean=0.616982>threshold=0.450000,0.792282387549743,0.5608164668083191,0.4276589955554771,0.616981512079442,0.9718614718614719,1.261455774307251
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7493188010899182,0.749274129655601,0.7495692984019486,0.8395710806154577,0.4968337360595136,6.400467872619629,0.520449161529541,ok,,1466,1172,0,367,0.5399589538574219,11,1e-05,True,5.3384034633636475,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; entropy_norm_mean=0.730332>threshold=0.450000,30,1,epoch_chunk,accuracy,0.7108843537414966,0.7210884353741497,0.7108843537414966,0.7210884353741497,3,True,False,,apply_uncertain,uncertain baseline; entropy_norm_mean=0.730332>threshold=0.450000,0.758623428987872,0.5737310647964478,0.5062272959575603,0.7303316094406019,0.978542234332425,1.0145390033721924
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7411444141689373,0.7408442805973467,0.7412390116417201,0.7911023996198623,0.554725166308309,8.473381519317627,0.5166599750518799,ok,,1467,1173,0,367,0.5249742865562439,18,1e-05,True,7.47709321975708,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; entropy_norm_mean=0.774122>threshold=0.450000,30,1,epoch_chunk,accuracy,0.7006802721088435,0.7210884353741497,0.7006802721088435,0.7210884353741497,10,True,False,,apply_uncertain,uncertain baseline; entropy_norm_mean=0.774122>threshold=0.450000,0.7317448019656563,0.550983190536499,0.5365805099725479,0.7741220407750657,0.9747956403269755,0.954826831817627
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.678125,0.6727529066015349,0.6781250000000001,0.730234375,0.6014452846372896,6.894243240356445,0.58962082862854,ok,,1280,1024,0,320,0.649530440568924,10,1e-05,True,5.708583354949951,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; confidence_mean=0.670062<threshold=0.700000; entropy_norm_mean=0.892848>threshold=0.450000,30,1,epoch_chunk,accuracy,0.65234375,0.65625,0.65234375,0.65625,2,True,False,,apply_uncertain,uncertain baseline; confidence_mean=0.670062<threshold=0.700000; entropy_norm_mean=0.892848>threshold=0.450000,0.670062281563878,0.5722977876663208,0.6188751684159403,0.8928481364029992,0.953125,1.1070375442504883
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.9537815126050421,0.9536614172576187,0.9511664407505172,0.9830919597631447,0.1517899535606789,1.6052796840667725,0.8466506004333496,ok,,952,761,0,238,,0,1e-05,False,0.0,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=skip_low_risk: low-risk baseline; confidence_mean=0.926872>=0.700000; entropy_norm_mean=0.269594<=0.450000; stability_mean=0.994223>=0.800000,0,0,,,,,,,0,False,False,,skip_low_risk,low-risk baseline; confidence_mean=0.926872>=0.700000; entropy_norm_mean=0.269594<=0.450000; stability_mean=0.994223>=0.800000,0.9268721715241921,0.7719740092754365,0.18686826095740522,0.26959391338279326,0.9942226890756303,1.03348970413208
MIC,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/MIC,binclass,1319,264,330,104,2,0.9090909090909091,0.8995772562318263,0.7459413873076113,0.8833719867875466,0.2644560252864975,2.70554780960083,1.617760181427002,ok,,1319,1055,0,330,,0,1e-05,False,0.0,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=skip_low_risk: low-risk baseline; confidence_mean=0.902878>=0.700000; entropy_norm_mean=0.344885<=0.450000; stability_mean=0.991667>=0.800000,0,0,,,,,,,0,False,False,,skip_low_risk,low-risk baseline; confidence_mean=0.902878>=0.700000; entropy_norm_mean=0.344885<=0.450000; stability_mean=0.991667>=0.800000,0.9028781126845967,0.6790603578090668,0.23905639902009218,0.3448854813590602,0.9916666666666667,1.912097454071045
PieChart3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/PieChart3,binclass,861,173,216,37,2,0.8842592592592593,0.8504784688995214,0.5687830687830688,0.8745835782872821,0.26784830053264297,1.9569942951202393,1.1887319087982178,ok,,861,688,0,216,,0,1e-05,False,0.0,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=skip_low_risk: low-risk baseline; confidence_mean=0.899265>=0.700000; entropy_norm_mean=0.364324<=0.450000; stability_mean=0.994792>=0.800000,0,0,,,,,,,0,False,False,,skip_low_risk,low-risk baseline; confidence_mean=0.899265>=0.700000; entropy_norm_mean=0.364324<=0.450000; stability_mean=0.994792>=0.800000,0.8992650445412707,0.7064139544963837,0.2525300712490982,0.3643238814664106,0.9947916666666666,1.3406455516815186
PizzaCutter3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/PizzaCutter3,binclass,834,167,209,37,2,0.8851674641148325,0.8432935485567066,0.5372826086956521,0.893695652173913,0.2497936363810419,1.9357945919036865,1.2388525009155273,ok,,834,667,0,209,,0,1e-05,False,0.0,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=skip_low_risk: low-risk baseline; confidence_mean=0.898062>=0.700000; entropy_norm_mean=0.364747<=0.450000; stability_mean=0.992823>=0.800000,0,0,,,,,,,0,False,False,,skip_low_risk,low-risk baseline; confidence_mean=0.898062>=0.700000; entropy_norm_mean=0.364747<=0.450000; stability_mean=0.992823>=0.800000,0.8980623500769218,0.6997899174690246,0.2528235203021795,0.36474723896004463,0.992822966507177,1.3064253330230713
UJI_Pen_Characters,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/UJI_Pen_Characters,multiclass,1091,219,273,80,35,0.5384615384615384,0.5267602845208057,0.5493589743589743,0.9655602451002823,1.375157717489065,4.410194396972656,4.283332824707031,ok,,1091,872,0,273,,0,1e-05,False,0.695110559463501,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; confidence_mean=0.506977<threshold=0.700000; entropy_norm_mean=0.455197>threshold=0.450000 | TTT training skipped because n_classes=35 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,,apply_uncertain,uncertain baseline; confidence_mean=0.506977<threshold=0.700000; entropy_norm_mean=0.455197>threshold=0.450000,0.5069769156666902,0.23845968246459961,1.6183828861658063,0.455196750972345,0.809981684981685,3.0398128032684326
analcatdata_authorship,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/analcatdata_authorship,multiclass,672,135,169,69,4,0.9940828402366864,0.9940804879569156,0.9957627118644068,0.9999242768178149,0.010528673171386626,1.8445215225219727,0.7387294769287109,ok,,672,537,0,169,,0,1e-05,False,0.0,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=skip_low_risk: low-risk baseline; confidence_mean=0.997052>=0.700000; entropy_norm_mean=0.005196<=0.450000; stability_mean=0.998521>=0.800000,0,0,,,,,,,0,False,False,,skip_low_risk,low-risk baseline; confidence_mean=0.997052>=0.700000; entropy_norm_mean=0.005196<=0.450000; stability_mean=0.998521>=0.800000,0.997052128851061,0.9999192237854004,0.007203108012191989,0.005195944104088471,0.9985207100591716,1.2174553871154785
banknote_authentication,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/banknote_authentication,binclass,1097,220,275,4,2,0.5381818181818182,0.44139184931811665,0.4919639987142398,0.526786670952534,0.6867512734265135,4.297434568405151,0.18192529678344727,ok,,1097,877,0,275,0.6798033118247986,8,1e-05,True,3.200096368789673,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; confidence_mean=0.568538<threshold=0.700000; entropy_norm_mean=0.983400>threshold=0.450000,30,1,epoch_chunk,accuracy,0.5818181818181818,0.5818181818181818,0.5818181818181818,0.5818181818181818,0,True,False,,apply_uncertain,uncertain baseline; confidence_mean=0.568538<threshold=0.700000; entropy_norm_mean=0.983400>threshold=0.450000,0.5685376037250865,0.5256935119628906,0.6816407784478312,0.983399770734379,0.9777272727272728,1.0707154273986816
car-evaluation,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/car-evaluation,multiclass,1382,277,346,21,4,0.9855491329479769,0.985510846572902,0.9699959131777314,0.99971200002883,0.022677086165510667,1.6180717945098877,0.7031934261322021,ok,,1382,1105,0,346,,0,1e-05,False,0.0,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=skip_low_risk: low-risk baseline; confidence_mean=0.988728>=0.700000; entropy_norm_mean=0.018846<=0.450000; stability_mean=0.994942>=0.800000,0,0,,,,,,,0,False,False,,skip_low_risk,low-risk baseline; confidence_mean=0.988728>=0.700000; entropy_norm_mean=0.018846<=0.450000; stability_mean=0.994942>=0.800000,0.9887275557986573,0.9960662722587585,0.026125520905031528,0.018845579725164964,0.994942196531792,1.0190718173980713
contraceptive_method_choice,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/contraceptive_method_choice,multiclass,1178,236,295,9,3,0.6372881355932203,0.6356221051172173,0.6106558709719377,0.7948118572256018,0.8236246965571389,4.5941526889801025,0.46039867401123047,ok,,1178,942,0,295,0.9319413602352142,8,1e-05,True,3.7208609580993652,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; confidence_mean=0.584064<threshold=0.700000; entropy_norm_mean=0.789708>threshold=0.450000,30,1,epoch_chunk,accuracy,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.5423728813559322,0,True,False,,apply_uncertain,uncertain baseline; confidence_mean=0.584064<threshold=0.700000; entropy_norm_mean=0.789708>threshold=0.450000,0.5840639781143706,0.42111560702323914,0.8675825344695749,0.7897076552105372,0.9737288135593221,0.8310246467590332
