dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage1_graph_scm_0000_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0000_seed42,multiclass,584,0,440,36,5,0.6318181818181818,0.6071378172743701,0.586831967385123,0.891720531036207,0.8204808497212652,14.594326734542848,0.4633777141571045,ok,,584,584,0,440,,30,1e-05,True,10.5321147441864,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.6551724137931034,0.6551724137931034,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.6075285881485093,0.3540082327792941,,True
stage1_graph_scm_0001_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0001_seed42,multiclass,584,0,440,36,3,0.8454545454545455,0.8450772449627161,0.8158780008608318,0.9501572849686444,0.4026586050088992,10.905431270599363,0.452115535736084,ok,,584,584,0,440,,30,1e-05,True,10.905080318450928,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.8275862068965517,0.8620689655172413,,,3,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.8468328896770845,0.3768512391411399,,True
stage1_graph_scm_0002_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0002_seed42,multiclass,584,0,440,36,5,0.6477272727272727,0.6456943814264026,0.6279387910635439,0.9010434859413288,0.8324176294451587,15.675267457962036,0.4229276180267334,ok,,584,584,0,440,,30,1e-05,True,15.674912691116331,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.6551724137931034,0.7068965517241379,,,10,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.7010086152811483,0.3076523060496332,,True
stage1_graph_scm_0003_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0003_seed42,binclass,584,0,440,36,2,1.0,1.0,1.0,1.0,0.0001011886726221,8.274901866912842,0.4570086002349853,ok,,584,584,0,440,,30,1e-05,True,8.274554967880249,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.9242135228640675,0.5226630383348192,,True
stage1_graph_scm_0004_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0004_seed42,multiclass,458,0,566,36,5,0.2756183745583039,0.1867350819660866,0.2538804474836246,0.5893744731493455,1.5682545958310123,10.3049213886261,0.4350829124450683,ok,,458,458,0,566,,30,1e-05,True,10.304569244384766,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.3111111111111111,0.3333333333333333,,,3,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.563678071015876,5.304519144061705,,True
stage1_graph_scm_0005_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0005_seed42,multiclass,458,0,566,36,5,0.9982332155477032,0.9982320954589424,0.9980582524271846,1.0,0.0049980325785483,7.466089010238647,0.4367728233337402,ok,,458,458,0,566,,30,1e-05,True,7.465681314468384,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.761767290424569,1.26324130128258,,True
stage1_graph_scm_0006_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0006_seed42,multiclass,458,0,566,35,6,0.6890459363957597,0.6873087069359464,0.6828088232142222,0.9390836691389798,0.7850224282051419,8.136781215667725,0.4499802589416504,ok,,458,458,0,566,,30,1e-05,True,8.136423110961914,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.6444444444444445,0.6444444444444445,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.0329957130193765,1.3179685146608484,,True
stage1_graph_scm_0007_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0007_seed42,binclass,458,0,566,30,2,1.0,1.0,1.0,1.0,8.636692324621184e-05,7.956130027770996,0.4828460216522217,ok,,458,458,0,566,,30,1e-05,True,7.9557764530181885,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.6992319665846023,0.6981833069341996,,True
stage1_graph_scm_0008_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0008_seed42,multiclass,769,0,255,68,4,0.7647058823529411,0.7622625361599583,0.764785536524667,0.9393856669696964,0.6054969012575835,9.504599571228027,0.4914660453796386,ok,,769,769,0,255,,30,1e-05,True,9.504252910614014,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.8026315789473685,0.8026315789473685,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.4333275197123558,0.0724090518678527,,True
stage1_graph_scm_0009_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0009_seed42,binclass,769,0,255,66,2,1.0,1.0,1.0,1.0,1.3014232973708036e-05,8.852365255355835,0.4508767127990722,ok,,769,769,0,255,,30,1e-05,True,8.851985454559326,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.906426340138616,0.4734724869942565,,True
stage1_graph_scm_0010_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0010_seed42,multiclass,769,0,255,68,4,0.4196078431372549,0.372293498529979,0.3561507936507936,0.6541321653025813,1.3010843528900018,10.558156728744509,0.456834077835083,ok,,769,769,0,255,,30,1e-05,True,10.557806015014648,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.5,0.5131578947368421,,,2,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.008022315705143,0.5478612796480009,,True
stage1_graph_scm_0011_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0011_seed42,binclass,769,0,255,58,2,1.0,1.0,1.0,1.0,1.351820992975223e-05,9.18656325340271,0.4708399772644043,ok,,769,769,0,255,,30,1e-05,True,9.186209201812744,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.954024833613244,0.2136185728507833,,True
stage1_graph_scm_0012_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0012_seed42,multiclass,402,0,622,50,4,0.5418006430868167,0.4078321703181792,0.4984135871593878,0.8005006139911908,0.8186197211411667,15.117647409439089,0.5020766258239746,ok,,402,402,0,622,,30,1e-05,True,15.117215156555176,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.55,0.575,,,6,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.4652420077654762,0.0321298014357365,,True
stage1_graph_scm_0013_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0013_seed42,multiclass,402,0,622,56,3,0.9180064308681672,0.9179798081180416,0.9252953843436106,0.9902605468032614,0.1741712380870008,15.17759370803833,0.4655690193176269,ok,,402,402,0,622,,30,1e-05,True,15.176466464996338,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.875,0.9,,,8,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.355633305316549,2.6956489103703563,,True
stage1_graph_scm_0014_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0014_seed42,binclass,402,0,622,56,2,0.7668810289389068,0.7555231663310302,0.7125681271933288,0.7801198361562157,0.5225161871255856,11.823208808898926,0.4817049503326416,ok,,402,402,0,622,,30,1e-05,True,11.822861671447754,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.7,0.775,,,3,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.760243416290328,1.2720725563964157,,True
stage1_graph_scm_0015_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0015_seed42,multiclass,402,0,622,56,6,0.990353697749196,0.990409003829946,0.9950912976323976,0.9998398096489016,0.0293731778911972,7.867383480072021,0.4726097583770752,ok,,402,402,0,622,,30,1e-05,True,7.866952419281006,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.975,0.975,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,3.447381499008753,6.129361607625588,,True
stage1_graph_scm_0016_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0016_seed42,multiclass,456,0,568,58,5,0.9612676056338028,0.960973719708988,0.9279881561568456,0.9959993100473066,0.1275292408784635,8.942582607269287,0.4795882701873779,ok,,456,456,0,568,,30,1e-05,True,8.942231178283691,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.15637149657914,1.1234386430797556,,True
stage1_graph_scm_0017_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0017_seed42,multiclass,456,0,568,65,3,0.9190140845070424,0.9181171390997344,0.8365750528541226,0.9815281761360262,0.1970749947700814,8.122375726699829,0.4639015197753906,ok,,456,456,0,568,,30,1e-05,True,8.121961832046509,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9333333333333332,0.9333333333333332,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.6035809748143162,0.1355329093079633,,True
stage1_graph_scm_0018_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0018_seed42,multiclass,456,0,568,45,6,1.0,1.0,1.0,1.0,0.0099541241942806,7.4525980949401855,0.436091661453247,ok,,456,456,0,568,,30,1e-05,True,7.452181816101074,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.6838785050206178,1.582321200057703,,True
stage1_graph_scm_0019_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0019_seed42,multiclass,456,0,568,52,9,0.2852112676056338,0.2064303264486382,0.1926373710446402,0.7012247603885836,1.8998635604443623,10.722705364227297,0.4854528903961181,ok,,456,456,0,568,,30,1e-05,True,10.722323417663574,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.2666666666666666,0.2888888888888888,,,2,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.6882881091255404,1.0393325727748772,,True
stage1_graph_scm_0020_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0020_seed42,multiclass,674,0,350,18,6,0.5657142857142857,0.4939739301425125,0.2832167832167832,0.6955644340607327,1.1244486501568214,7.40425968170166,0.4316678047180176,ok,,674,674,0,350,,30,1e-05,True,7.403812885284424,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.5223880597014925,0.5223880597014925,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,3.4423785925985766,5.626115332921255,,True
stage1_graph_scm_0021_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0021_seed42,multiclass,674,0,350,18,8,0.9628571428571427,0.962257185661297,0.933120512617464,0.9986897508140108,0.1301387470222594,13.903359413146973,0.4243357181549072,ok,,674,674,0,350,,30,1e-05,True,13.903013229370115,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9552238805970148,0.9850746268656716,,,8,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.9940160233105408,0.4865405178404772,,True
stage1_graph_scm_0022_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0022_seed42,multiclass,674,0,350,18,3,0.7828571428571428,0.7620696340542331,0.6500915259369365,0.910680250991981,0.4929451115153734,14.082035779953005,0.4725294113159179,ok,,674,674,0,350,,30,1e-05,True,14.081688165664673,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.835820895522388,0.8507462686567164,,,8,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.063514671052097,0.6613430263466079,,True
stage1_graph_scm_0023_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0023_seed42,multiclass,674,0,350,15,8,0.9228571428571428,0.9113072320972828,0.8996679316888045,0.9885672616132676,0.1611702159486346,16.705008029937744,0.4411301612854004,ok,,674,674,0,350,,30,1e-05,True,16.704658269882202,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.8507462686567164,0.8805970149253731,,,10,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.387978159408507,2.418442064281218,,True
stage1_graph_scm_0024_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0024_seed42,multiclass,740,0,284,66,3,0.9014084507042254,0.8914209869333919,0.5248049052396878,0.9416241816959012,0.2515725200541102,8.90665864944458,0.4710395336151123,ok,,740,740,0,284,,30,1e-05,True,8.90625262260437,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9594594594594594,0.9594594594594594,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.0394256511163875,0.8940732367977601,,True
stage1_graph_scm_0025_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0025_seed42,multiclass,740,0,284,72,8,0.4330985915492957,0.3501649549525065,0.2267215780542986,0.7321574780634705,1.4674182149787054,13.429340600967407,0.4748339653015136,ok,,740,740,0,284,,30,1e-05,True,13.428988933563232,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.4324324324324324,0.4459459459459459,,,5,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.4154867684523955,1.2046736927529342,,True
stage1_graph_scm_0026_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0026_seed42,multiclass,740,0,284,73,10,0.9330985915492958,0.9318744037512156,0.8565277777777778,0.98625613779171,0.2539653935146182,20.124648332595825,0.4800231456756592,ok,,740,740,0,284,,30,1e-05,True,20.12429618835449,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.918918918918919,0.9594594594594594,,,10,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.8996650401408928,0.6183965602796353,,True
stage1_graph_scm_0027_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0027_seed42,multiclass,740,0,284,79,9,0.3309859154929577,0.2715261879477665,0.2560463444624321,0.7510492450779482,1.7421876524186186,20.638691425323486,0.456157922744751,ok,,740,740,0,284,,30,1e-05,True,20.638340711593628,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.3513513513513513,0.4054054054054054,,,12,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.650361355089078,0.2514197551488664,,True
stage1_graph_scm_0028_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0028_seed42,multiclass,438,0,586,8,8,0.310580204778157,0.2523065994718823,0.258484432916056,0.6846189970672102,1.87152221091782,11.729950666427612,0.4526042938232422,ok,,438,438,0,586,,30,1e-05,True,11.729596376419067,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.2558139534883721,0.2790697674418604,,,5,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.067748582948071,0.8236571102939998,,True
stage1_graph_scm_0029_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0029_seed42,multiclass,438,0,586,9,5,0.4948805460750853,0.4599433590743403,0.4545130366566867,0.7635540238988167,1.196852466518183,9.975876331329346,0.4261810779571533,ok,,438,438,0,586,,30,1e-05,True,9.975396156311035,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.3720930232558139,0.4651162790697674,,,3,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.6996677103600817,1.0094210594031534,,True
stage1_graph_scm_0030_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0030_seed42,binclass,438,0,586,5,2,1.0,1.0,1.0,1.0,2.091084316822801e-05,7.354052543640137,0.4268355369567871,ok,,438,438,0,586,,30,1e-05,True,7.35370135307312,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.6114678441400596,0.1317458496398883,,True
stage1_graph_scm_0031_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0031_seed42,multiclass,438,0,586,9,9,0.9965870307167236,0.9965570923896772,0.9943019943019944,0.9999958423502362,0.0126767068784227,7.35469651222229,0.4228997230529785,ok,,438,438,0,586,,30,1e-05,True,7.354328870773315,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9767441860465116,0.9767441860465116,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.967409899688542,2.130118761099586,,True
stage1_graph_scm_0032_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0032_seed42,multiclass,904,0,120,14,4,0.775,0.7662277183052377,0.7028879793825447,0.9346540816661246,0.5292438179572951,7.699461221694946,0.4339218139648437,ok,,904,904,0,120,,30,1e-05,True,7.699111461639404,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.8,0.8,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.6462717587632882,0.3812724990191164,,True
stage1_graph_scm_0033_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0033_seed42,multiclass,904,0,120,14,3,1.0,1.0,1.0,1.0,4.616243379764472e-05,7.516077518463135,0.432037353515625,ok,,904,904,0,120,,30,1e-05,True,7.515665769577026,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9888888888888888,0.9888888888888888,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.98089498057842,0.5284932881101894,,True
stage1_graph_scm_0034_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0034_seed42,multiclass,904,0,120,14,4,1.0,1.0,1.0,1.0,3.897226298466538e-05,7.409134387969971,0.4192423820495605,ok,,904,904,0,120,,30,1e-05,True,7.408718109130859,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.367874674988024,2.1563525332209585,,True
stage1_graph_scm_0035_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0035_seed42,binclass,904,0,120,14,2,0.975,0.974991304347826,0.974694104560623,0.9952725250278088,0.0931254875452566,7.44351601600647,0.4235477447509765,ok,,904,904,0,120,,30,1e-05,True,7.443170309066772,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9888888888888888,0.9888888888888888,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.4560843616528465,0.757352889635731,,True
stage1_graph_scm_0036_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0036_seed42,binclass,444,0,580,15,2,0.9017241379310345,0.9002182928059914,0.8732466643859049,0.9608484433800888,0.2302920810652409,10.283876419067385,0.4838075637817383,ok,,444,444,0,580,,30,1e-05,True,10.283530712127686,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9090909090909092,0.9318181818181818,,,3,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.7896991975077186,0.4732241734711406,,True
