dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
OpenML-ID-1049,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1049,binclass,1166,234,292,37,2,0.910958904109589,0.9060787671232876,0.7463107638888888,0.9571397569444444,0.1862991037119101,2.7354073524475098,11.697224140167236,ok,
OpenML-ID-1050,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1050,binclass,1250,250,313,37,2,0.8881789137380192,0.8499422902890089,0.5085075622775801,0.8281806049822065,0.2711452915991333,0.6446595191955566,0.584235668182373,ok,
OpenML-ID-1053,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1053,binclass,8708,1742,2177,21,2,0.8171796049609554,0.7747293079982425,0.5733643456571024,0.717522278553612,0.442007465454129,1.167973279953003,3.885680675506592,ok,
OpenML-ID-1063,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1063,binclass,417,84,105,21,2,0.8095238095238095,0.7869238604532722,0.6289704271631983,0.7450711938663748,0.5020465614213312,0.2428061962127685,0.4358277320861816,ok,
OpenML-ID-1067,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1067,binclass,1687,338,422,21,2,0.8696682464454977,0.8431868202786753,0.6209653092006033,0.8460245636716226,0.3142215449604332,0.3489949703216553,0.4753365516662597,ok,
OpenML-ID-1068,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1068,binclass,887,178,222,21,2,0.9504504504504504,0.9403598127002384,0.6642512077294686,0.8954911433172302,0.1530741469063333,0.3459095954895019,0.2880699634552002,ok,
OpenML-ID-11,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-11,multiclass,500,100,125,4,3,0.976,0.9773894682840228,0.9826577939100626,0.9983791686246428,0.0656540922879042,0.2453620433807373,0.6774282455444336,ok,
OpenML-ID-12,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-12,multiclass,1600,320,400,216,10,0.9725,0.9723939685442722,0.9725,0.9992152777777776,0.0965044714357657,93.72124814987184,3.2206294536590576,ok,
OpenML-ID-14,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-14,multiclass,1600,320,400,76,10,0.9075,0.9064170853301824,0.9075,0.99375,0.2380098240354585,1.351022720336914,1.2241928577423096,ok,
OpenML-ID-1461,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1461,binclass,36168,7234,9043,16,2,0.9109808691805816,0.9036847652915913,0.7171386448835423,0.9354010295769596,0.1967417319528973,7.241381645202637,30.17693305015564,ok,
