dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.975,0.9750052086950483,0.9758064516129032,0.9912576473859844,0.1016828715296724,0.6555240154266357,2.064549684524536,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.95625,0.9562619654353574,0.9568270300333704,0.9885636818687431,0.13520498545997484,0.4381411075592041,0.7383761405944824,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.95625,0.9562619654353574,0.9568270300333704,0.990301724137931,0.11856307840233136,0.4230945110321045,0.7279329299926758,ok,
Insurance,/home/crc00006699/zh/tabiclv2/data200/Insurance,binclass,18838,3768,4710,10,2,0.7575371549893843,0.6530303380048618,0.5,0.5041266060251466,0.555512055028185,0.5318412780761719,8.156557321548462,ok,
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data200/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.8840579710144928,0.829654403567447,0.5,0.7300819672131148,0.32680820820048156,0.4039795398712158,0.4959838390350342,ok,
Long,/home/crc00006699/zh/tabiclv2/data200/Long,binclass,3581,717,896,19,2,0.9888392857142857,0.9888654436383929,0.9886427747933377,0.9995523339956338,0.02516703924241625,0.40801405906677246,1.104816198348999,ok,
Shipping,/home/crc00006699/zh/tabiclv2/data200/Shipping,binclass,8799,1760,2200,9,2,0.6859090909090909,0.6790568734406687,0.723387870901683,0.740653170929414,0.4999828823566387,0.41589879989624023,2.695185899734497,ok,
Waterstress,/home/crc00006699/zh/tabiclv2/data200/Waterstress,binclass,950,190,238,22,2,0.7773109243697479,0.7772755413271711,0.7783315659243548,0.8430540827147402,0.4889914213362649,0.39473390579223633,0.6491801738739014,ok,
connect-4,/home/crc00006699/zh/tabiclv2/data200/connect-4,multiclass,54045,10809,13512,42,3,0.8364416814683244,0.8105777523666243,0.6253601490661583,0.9227822954994984,0.40989726490743134,2.4345145225524902,139.6278374195099,ok,
eucalyptus,/home/crc00006699/zh/tabiclv2/data200/eucalyptus,multiclass,588,118,148,19,5,0.7162162162162162,0.7200797122842804,0.6982824668871179,0.9402288976020199,0.6000010480631616,0.3815441131591797,0.4482882022857666,ok,
jasmine,/home/crc00006699/zh/tabiclv2/data200/jasmine,binclass,2387,478,597,144,2,0.8090452261306532,0.806860656705386,0.8092242598370407,0.8765459810105273,0.3923284884168179,0.9364416599273682,2.6394143104553223,ok,
law-school-admission-bianry,/home/crc00006699/zh/tabiclv2/data200/law-school-admission-bianry,binclass,16640,3328,4160,11,2,1.0,1.0,1.0,1.0,2.1302956319616174e-07,0.48846888542175293,6.984968662261963,ok,
philippine,/home/crc00006699/zh/tabiclv2/data200/philippine,binclass,4665,933,1167,308,2,0.7455012853470437,0.7450789880281875,0.745466587560798,0.8407269907657605,0.49227146200974803,1.6193981170654297,9.7063889503479,ok,
shrutime,/home/crc00006699/zh/tabiclv2/data200/shrutime,binclass,8000,1600,2000,10,2,0.87,0.8573146652374577,0.7187651889181653,0.8767219436698985,0.31454650467470696,0.43673229217529297,2.4823429584503174,ok,
