dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data200/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.953781512605042,0.9536614172576188,0.9511664407505172,0.98202183063423,0.159302204015218,0.3670012950897217,0.5595078468322754,ok,
Intersectional-Bias-Assessment,/home/crc00006699/zh/tabiclv2/data200/Intersectional-Bias-Assessment,binclass,8800,1760,2200,19,2,0.9431818181818182,0.943181970797966,0.9431824098661848,0.9894979218166686,0.1361335399462485,0.4748244285583496,3.1701667308807373,ok,
KDD,/home/crc00006699/zh/tabiclv2/data200/KDD,binclass,4025,805,1007,45,2,0.8033763654419066,0.8026490113996215,0.8042154890125064,0.9023572809405452,0.3726005999409132,0.5162348747253418,1.9199318885803225,ok,
Performance-Prediction,/home/crc00006699/zh/tabiclv2/data200/Performance-Prediction,binclass,1072,215,268,19,2,0.7649253731343284,0.7610192281834073,0.734116311039388,0.8049728049728049,0.5253826698460667,0.3503470420837402,0.3998041152954101,ok,
VulNoneVul,/home/crc00006699/zh/tabiclv2/data200/VulNoneVul,binclass,4553,911,1139,16,2,0.9894644424934153,0.9842245601854184,0.5,0.8626515823720793,0.0480277531601013,0.4087228775024414,1.371021032333374,ok,
adult,/home/crc00006699/zh/tabiclv2/data200/adult,binclass,32561,6513,16281,14,2,0.8576868742706222,0.8535136224124914,0.7768107732753219,0.9130407918367396,0.3055602396819382,0.7343339920043945,24.91547179222107,ok,
credit-g,/home/crc00006699/zh/tabiclv2/data200/credit-g,binclass,800,160,200,20,2,0.785,0.7676703752849511,0.6892857142857143,0.8407142857142857,0.4460356374703801,0.4042143821716308,0.5615031719207764,ok,
helena,/home/crc00006699/zh/tabiclv2/data200/helena,multiclass,52156,10432,13040,27,100,0.419478527607362,0.3915505198408884,0.2690320953315931,0.906615852748135,2.38384949353182,1.5355281829833984,87.0117917060852,ok,
kr-vs-kp,/home/crc00006699/zh/tabiclv2/data200/kr-vs-kp,binclass,2556,512,640,36,2,0.9984375,0.9984376031804651,0.998502994011976,0.9999706469414114,0.0062070938767765,0.4786398410797119,1.2052514553070068,ok,
ozone_level,/home/crc00006699/zh/tabiclv2/data200/ozone_level,binclass,2028,406,508,36,2,0.9803149606299212,0.9725192154161644,0.4989979959919839,0.8728568247606323,0.0781638069400378,0.4604177474975586,0.910956621170044,ok,
shill-bidding,/home/crc00006699/zh/tabiclv2/data200/shill-bidding,binclass,5056,1012,1265,3,2,0.9019762845849802,0.8702746870359778,0.5570756104736687,0.9019898900746208,0.213148281916364,0.3494212627410888,0.4810645580291748,ok,
svmguide3,/home/crc00006699/zh/tabiclv2/data200/svmguide3,binclass,994,199,249,22,2,0.8594377510040161,0.8486950282519657,0.7423245614035088,0.9015899122807016,0.3195796366115234,0.3784630298614502,0.6692047119140625,ok,
