dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9450717119316449,0.9341816071224844,0.6105079422729749,0.8259910482518452,0.1764803804126319,68.03402209281921,5.1993372440338135,ok,,26215,20972,0,6554,,90,1e-05,True,64.1818368434906,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.9485027655922182,0.949074957085638,,,4,True,False,,random,none,,,,,,True
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9880619761239524,0.9880671889035106,0.9872141801181176,0.9991976835309644,0.0328402254295313,91.92176294326782,7.557148694992065,ok,,31492,25193,0,7874,,90,1e-05,True,91.92131543159483,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.9868233052865534,0.9872995713605334,,,8,True,False,,random,none,,,,,,True
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8159766319532639,0.8136807500239616,0.7859790070754806,0.8845327587143185,0.4023220634677605,100.55537390708923,7.366778135299683,ok,,31492,25193,0,7874,,90,1e-05,True,100.55495643615724,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.8109223686299413,0.8142562311478012,,,8,True,False,,random,none,,,,,,True
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7089552238805971,0.711236006650442,0.7008032128514057,0.7391330025986298,0.5884238790115034,7.880035161972046,0.4807372093200683,ok,,1072,857,0,268,,30,1e-05,True,7.879602909088135,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.772093023255814,0.772093023255814,,,0,True,False,,random,none,,,,,,True
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7331428571428571,0.7329356282086473,0.7331270148986171,0.8002455164066992,0.545056096578256,107.18091869354248,20.03214168548584,ok,,56000,44800,0,14000,,150,1e-05,True,107.18045115470886,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,5,tabpfn_finetuning_api_random,acc,0.7339285714285714,0.7339285714285714,,,0,True,False,,random,none,,,,,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.96875,0.9687585467395412,0.969340934371524,0.992769744160178,0.0977087822860217,15.299450159072876,0.5018520355224609,ok,,1920,1536,0,480,,30,1e-05,True,15.299005031585692,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9739583333333334,0.984375,,,7,True,False,,random,none,,,,,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9541666666666668,0.9541722367865184,0.9550889877641824,0.9909795606229144,0.1180009335013932,10.370678186416626,0.4700984954833984,ok,,1920,1536,0,480,,30,1e-05,True,10.370241165161133,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9791666666666666,0.9817708333333334,,,2,True,False,,random,none,,,,,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9479166666666666,0.9479309112325682,0.948484427141268,0.99103170189099,0.1229031666929741,8.367275953292847,0.4627070426940918,ok,,1920,1536,0,480,,30,1e-05,True,8.366857290267944,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9583333333333334,0.9583333333333334,,,0,True,False,,random,none,,,,,,True
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.890625,0.8829200996492792,0.7265836173463391,0.9049046108042466,0.2502802419888036,8.958624839782715,0.4727809429168701,ok,,1792,1433,0,448,,30,1e-05,True,8.95823359489441,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8941504178272981,0.8941504178272981,,,0,True,False,,random,none,,,,,,True
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6790909090909091,0.668365309163904,0.727492227151776,0.7309559852004626,0.5039355595107965,24.45628499984741,1.239506721496582,ok,,8799,7039,0,2200,,30,1e-05,True,24.45585799217224,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.6852272727272727,0.6875,,,7,True,False,,random,none,,,,,,True
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data184/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7427848101265823,0.7417968862947971,0.7405209570258733,0.8216814104750204,0.5203755334769739,23.32220697402954,1.4236326217651367,ok,,7896,6316,0,1975,,30,1e-05,True,23.32181143760681,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7443037974683544,0.7512658227848101,,,5,True,False,,random,none,,,,,,True
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7148887621220764,0.7149500539824737,0.7150753416112752,0.789245184184885,0.5547165553686841,56.99611973762512,9.48857879638672,ok,,35060,28048,0,8765,,90,1e-05,True,56.99569630622864,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.7154877353108956,0.7154877353108956,,,0,True,False,,random,none,,,,,,True
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.7929155313351499,0.7924895078307409,0.7917484097259377,0.8539028595208371,0.4868904061680786,11.820612668991089,0.4794297218322754,ok,,1465,1172,0,367,,30,1e-05,True,11.820180654525757,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7474402730375427,0.757679180887372,,,4,True,False,,random,none,,,,,,True
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7064460924130063,0.7065101101552864,0.7066113271316201,0.7771585514105186,0.5719959264200599,162.50005435943604,8.723124504089355,ok,,35060,28048,0,8765,,90,1e-05,True,162.49962854385376,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.6903879064460924,0.7162007986309185,,,16,True,False,,random,none,,,,,,True
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7111716621253406,0.7039070053616947,0.7116001425516749,0.7810643858398669,0.5958858769525862,7.920401334762573,0.4687860012054443,ok,,1467,1173,0,367,,30,1e-05,True,7.919962644577026,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7006802721088435,0.7006802721088435,,,0,True,False,,random,none,,,,,,True
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data184/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8731481481481481,0.8707146705930869,0.7910120854921663,0.9704393633201536,0.3193081879623482,37.29038310050965,1.405182123184204,ok,,8640,6912,0,2160,,30,1e-05,True,37.28990840911865,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8697916666666666,0.8767361111111112,,,12,True,False,,random,none,,,,,,True
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data184/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.675,0.6693032314479908,0.675,0.7472656249999999,0.5947689303410832,8.878027200698853,0.4901998043060303,ok,,1280,1024,0,320,,30,1e-05,True,8.877602338790894,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.6484375,0.6484375,,,0,True,False,,random,none,,,,,,True
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data184/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6073684210526316,0.5508862643555095,0.4157822119059017,0.7022620959704057,0.7969275763409027,11.127746343612673,0.6473388671875,ok,,3796,3036,0,950,,30,1e-05,True,11.127332210540771,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.618421052631579,0.6210526315789474,,,2,True,False,,random,none,,,,,,True
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/data184/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.8024530271398748,0.804575257903581,0.7474195961106955,0.8105782091947873,0.4308719889491304,27.65243411064148,2.5703065395355225,ok,,15326,12260,0,3832,,60,1e-05,True,27.6519832611084,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,2,tabpfn_finetuning_api_random,acc,0.8088714938030006,0.809849967384214,,,1,True,False,,random,none,,,,,,True
INNHotelsGroup,/home/crc00006699/zh/tabiclv2/data184/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.903790489317712,0.9029275668715078,0.882510970671339,0.9616163199915548,0.2250514689388694,64.0415050983429,7.042298078536987,ok,,29020,23216,0,7255,,90,1e-05,True,64.04095816612244,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.903170227429359,0.9066161268090972,,,2,True,False,,random,none,,,,,,True
Intersectional-Bias-Assessment,/home/crc00006699/zh/tabiclv2/data184/Intersectional-Bias-Assessment,binclass,8800,1760,2200,19,2,0.9472727272727272,0.9472731630367524,0.9472995187408416,0.9904285380151758,0.128876931491068,23.39620041847229,1.4998109340667725,ok,,8800,7040,0,2200,,30,1e-05,True,23.395797729492188,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9517045454545454,0.9528409090909092,,,4,True,False,,random,none,,,,,,True
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data184/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9989964877069744,0.9989960803818158,0.9987928379401247,0.999998157779988,0.0048273669656399,29.26097798347473,1.203678846359253,ok,,7968,6374,0,1993,,30,1e-05,True,29.26056456565857,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9956085319949812,0.9974905897114178,,,12,True,False,,random,none,,,,,,True
KDDCup09_upselling,/home/crc00006699/zh/tabiclv2/data184/KDDCup09_upselling,binclass,4102,821,1026,49,2,0.8148148148148148,0.8138983400350551,0.8148148148148148,0.912736682511998,0.3519923255290391,33.97381329536438,1.3045055866241455,ok,,4102,3281,0,1026,,30,1e-05,True,33.97333669662476,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8148599269183922,0.8221680876979294,,,12,True,False,,random,none,,,,,,True
MIC,/home/crc00006699/zh/tabiclv2/data184/MIC,binclass,1319,264,330,104,2,0.9030303030303032,0.8941558441558441,0.7423571579169301,0.8840396373603205,0.2665500938865575,12.71725082397461,0.7385702133178711,ok,,1319,1055,0,330,,30,1e-05,True,12.71677017211914,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8712121212121212,0.8712121212121212,,,0,True,False,,random,none,,,,,,True
Marketing_Campaign,/home/crc00006699/zh/tabiclv2/data184/Marketing_Campaign,binclass,1792,359,448,27,2,0.8861607142857143,0.8699259093699128,0.6747561405570572,0.9307008265757823,0.2345622793186054,8.81807279586792,0.4841899871826172,ok,,1792,1433,0,448,,30,1e-05,True,8.81765079498291,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9108635097493036,0.9108635097493036,,,0,True,False,,random,none,,,,,,True
National_Health_and_Nutrition_Health_Survey,/home/crc00006699/zh/tabiclv2/data184/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8355263157894737,0.7885534022230477,0.5361958582209664,0.7694838871204264,0.3828058391395953,14.83202052116394,0.5727264881134033,ok,,1822,1457,0,456,,30,1e-05,True,14.831609010696411,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8547945205479452,0.863013698630137,,,7,True,False,,random,none,,,,,,True
PhishingWebsites,/home/crc00006699/zh/tabiclv2/data184/PhishingWebsites,binclass,8844,1769,2211,30,2,0.9773857982813208,0.9773575845045794,0.9759462192675608,0.998050365556458,0.0552336094530958,33.366337060928345,1.7845337390899658,ok,,8844,7075,0,2211,,30,1e-05,True,33.36589884757996,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9773883550028264,0.979649519502544,,,6,True,False,,random,none,,,,,,True
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data184/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7597402597402597,0.7539924190641895,0.717037037037037,0.8681481481481481,0.4501965919687013,11.50687551498413,0.4600379467010498,ok,,614,491,0,154,,30,1e-05,True,11.506355047225952,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7804878048780488,0.7886178861788617,,,4,True,False,,random,none,,,,,,True
Pumpkin_Seeds,/home/crc00006699/zh/tabiclv2/data184/Pumpkin_Seeds,binclass,2000,400,500,12,2,0.866,0.8648546915716654,0.8628205128205129,0.9448878205128204,0.3767257361504,8.05547833442688,0.6376228332519531,ok,,2000,1600,0,500,,30,1e-05,True,8.05505895614624,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.88,0.88,,,0,True,False,,random,none,,,,,,True
Rain_in_Australia,/home/crc00006699/zh/tabiclv2/data184/Rain_in_Australia,multiclass,116368,23274,29092,18,3,0.8596177643338375,0.8533517699241645,0.7232006057390744,0.9219524988930612,0.3437694668604421,319.6074318885803,33.01152205467224,ok,,116368,93094,0,29092,,300,1e-05,True,319.60692834854126,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,10,tabpfn_finetuning_api_random,acc,0.8503480278422274,0.8545587350691759,,,4,True,False,,random,none,,,,,,True
Shipping,/home/crc00006699/zh/tabiclv2/data184/Shipping,binclass,8799,1760,2200,9,2,0.6909090909090909,0.6812510258107868,0.7331257066063697,0.7361914716610849,0.4987569619835652,18.51113986968994,1.2245714664459229,ok,,8799,7039,0,2200,,30,1e-05,True,18.51050448417664,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.6761363636363636,0.68125,,,3,True,False,,random,none,,,,,,True
VulNoneVul,/home/crc00006699/zh/tabiclv2/data184/VulNoneVul,binclass,4553,911,1139,16,2,0.9894644424934153,0.9842245601854184,0.5,0.821354628808045,0.0492539806861057,9.465019464492798,0.7588624954223633,ok,,4553,3642,0,1139,,30,1e-05,True,9.464637756347656,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9890230515916576,0.9890230515916576,,,0,True,False,,random,none,,,,,,True
Waterstress,/home/crc00006699/zh/tabiclv2/data184/Waterstress,binclass,950,190,238,22,2,0.7815126050420168,0.7810183246151058,0.7835277483209615,0.8599505125486037,0.4591542751223279,10.10526704788208,0.4683718681335449,ok,,950,760,0,238,,30,1e-05,True,10.104780197143556,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7736842105263158,0.7842105263157895,,,2,True,False,,random,none,,,,,,True
abalone,/home/crc00006699/zh/tabiclv2/data184/abalone,multiclass,3341,669,836,8,3,0.6411483253588517,0.6455169969334182,0.6396814518276348,0.8295697495300965,0.745337646874146,9.011738777160645,0.5974974632263184,ok,,3341,2672,0,836,,30,1e-05,True,9.011273622512816,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7010463378176383,0.7010463378176383,,,0,True,False,,random,none,,,,,,True
ada,/home/crc00006699/zh/tabiclv2/data184/ada,binclass,3317,664,830,48,2,0.8662650602409638,0.8610022876800131,0.7874891087876525,0.9169545058501368,0.3115614627847219,12.158353328704834,1.1294043064117432,ok,,3317,2653,0,830,,30,1e-05,True,12.157843351364136,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.875,0.875,,,0,True,False,,random,none,,,,,,True
ada_prior,/home/crc00006699/zh/tabiclv2/data184/ada_prior,binclass,3649,730,913,14,2,0.8510405257393209,0.8410790115448555,0.749075275169854,0.8878385841435378,0.3493802736396695,17.536696672439575,0.6704921722412109,ok,,3649,2919,0,913,,30,1e-05,True,17.536250114440918,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8315068493150685,0.836986301369863,,,7,True,False,,random,none,,,,,,True
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,/home/crc00006699/zh/tabiclv2/data184/airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,binclass,1600,320,400,7,2,0.595,0.5815916808149405,0.5755643283733172,0.6515715153355602,0.6462746340849744,21.58408141136169,0.4631907939910888,ok,,1600,1280,0,400,,30,1e-05,True,21.58350133895874,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.64375,0.665625,,,14,True,False,,random,none,,,,,,True
allrep,/home/crc00006699/zh/tabiclv2/data184/allrep,multiclass,3017,604,755,29,4,0.981456953642384,0.9810612979454876,0.7250733855185909,0.9963539727462476,0.0438527936554354,27.412903547286987,0.792691707611084,ok,,3017,2413,0,755,,30,1e-05,True,27.412490129470825,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9850993377483444,0.9900662251655628,,,14,True,False,,random,none,,,,,,True
artificial-characters,/home/crc00006699/zh/tabiclv2/data184/artificial-characters,multiclass,8174,1635,2044,7,10,0.905577299412916,0.9055219206950968,0.9000729313937137,0.9966748673545188,0.2109651425794065,40.37778043746948,1.085608720779419,ok,,8174,6539,0,2044,,30,1e-05,True,40.377387285232544,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8550458715596331,0.8966360856269113,,,25,False,False,,random,none,,,,,,True
autoUniv-au7-1100,/home/crc00006699/zh/tabiclv2/data184/autoUniv-au7-1100,multiclass,880,176,220,12,5,0.4136363636363636,0.3793039582821249,0.3957321172046106,0.7287411864523616,1.359826422413272,8.37763500213623,0.4831190109252929,ok,,880,704,0,220,,30,1e-05,True,8.377240896224976,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.4943181818181818,0.4943181818181818,,,0,True,False,,random,none,,,,,,True
banknote_authentication,/home/crc00006699/zh/tabiclv2/data184/banknote_authentication,binclass,1097,220,275,4,2,0.5454545454545454,0.4366675652114969,0.496839172827601,0.5045001607200257,0.7019105406662124,10.8003191947937,0.4575202465057373,ok,,1097,877,0,275,,30,1e-05,True,10.799840688705444,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.5590909090909091,0.5727272727272728,,,3,True,False,,random,none,,,,,,True
car-evaluation,/home/crc00006699/zh/tabiclv2/data184/car-evaluation,multiclass,1382,277,346,21,4,1.0,1.0,1.0,1.0,0.0102502187336994,11.96039605140686,0.4894623756408691,ok,,1382,1105,0,346,,30,1e-05,True,11.959988594055176,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9963898916967509,1.0,,,3,True,False,,random,none,,,,,,True
cmc,/home/crc00006699/zh/tabiclv2/data184/cmc,multiclass,1178,236,295,9,3,0.5796610169491525,0.5758060148940605,0.5487525026594385,0.7616530005592658,0.8751492686784674,8.32838249206543,0.472994327545166,ok,,1178,942,0,295,,30,1e-05,True,8.327972173690796,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.559322033898305,0.559322033898305,,,0,True,False,,random,none,,,,,,True
compass,/home/crc00006699/zh/tabiclv2/data184/compass,binclass,13315,2663,3329,17,2,0.8486031841393812,0.848602200525109,0.8486024486024486,0.9256810897435898,0.341559195024499,29.20378613471985,2.2946410179138184,ok,,13315,10652,0,3329,,60,1e-05,True,29.20331025123596,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,2,tabpfn_finetuning_api_random,acc,0.819752159218926,0.851295531355614,,,2,True,False,,random,none,,,,,,True
contraceptive_method_choice,/home/crc00006699/zh/tabiclv2/data184/contraceptive_method_choice,multiclass,1178,236,295,9,3,0.6135593220338983,0.6124320735101368,0.590732146921787,0.7878538719784506,0.8362518376949766,13.37317180633545,0.487401008605957,ok,,1178,942,0,295,,30,1e-05,True,13.371946573257446,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.5254237288135594,0.5423728813559322,,,5,True,False,,random,none,,,,,,True
credit-g,/home/crc00006699/zh/tabiclv2/data184/credit-g,binclass,800,160,200,20,2,0.79,0.774077578051088,0.6976190476190476,0.8547619047619047,0.435871746105815,12.895226001739502,0.4764816761016845,ok,,800,640,0,200,,30,1e-05,True,12.89483880996704,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7625,0.79375,,,4,True,False,,random,none,,,,,,True
dabetes_130-us_hospitals,/home/crc00006699/zh/tabiclv2/data184/dabetes_130-us_hospitals,binclass,81412,16283,20354,20,2,0.6441977006976516,0.6409097394060362,0.6369890110148455,0.6986781802700435,0.6226559461754473,167.5112919807434,27.02142357826233,ok,,81412,65129,0,20354,,210,1e-05,True,167.51083397865295,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,7,tabpfn_finetuning_api_random,acc,0.6501873119204078,0.6501873119204078,,,0,True,False,,random,none,,,,,,True
delta_ailerons,/home/crc00006699/zh/tabiclv2/data184/delta_ailerons,binclass,5703,1141,1426,5,2,0.9537166900420756,0.9537166900420756,0.953539757480259,0.982876313352408,0.1571672758527128,9.269721031188965,0.7204999923706055,ok,,5703,4562,0,1426,,30,1e-05,True,9.269091844558716,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9456617002629272,0.9456617002629272,,,0,True,False,,random,none,,,,,,True
dna,/home/crc00006699/zh/tabiclv2/data184/dna,multiclass,2548,510,638,180,3,0.974921630094044,0.9750157414217072,0.9745568525557864,0.99786610807502,0.0815947150535172,46.33084297180176,3.1904313564300537,ok,,2548,2038,0,638,,30,1e-05,True,46.33041334152222,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9686274509803922,0.9745098039215686,,,5,True,False,,random,none,,,,,,True
dry_bean_dataset,/home/crc00006699/zh/tabiclv2/data184/dry_bean_dataset,multiclass,10888,2178,2723,16,7,0.9272860815277268,0.9273269806267233,0.93730990090097,0.9959410056314508,0.1882367227653775,17.512503623962402,1.7955000400543213,ok,,10888,8710,0,2723,,30,1e-05,True,17.511985540390015,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9338842975206612,0.9338842975206612,,,0,True,False,,random,none,,,,,,True
electricity,/home/crc00006699/zh/tabiclv2/data184/electricity,binclass,36249,7250,9063,8,2,0.9234249144874764,0.9233287186680156,0.9204501149132022,0.980398777714214,0.1786339085696292,205.22028613090515,9.151057243347168,ok,,36249,28999,0,9063,,90,1e-05,True,205.2198498249054,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.8936551724137931,0.9289655172413792,,,21,True,False,,random,none,,,,,,True
eucalyptus,/home/crc00006699/zh/tabiclv2/data184/eucalyptus,multiclass,588,118,148,19,5,0.7027027027027027,0.7072166310879462,0.6887361992013155,0.938101793046633,0.6237668851858644,26.34578585624695,0.4728085994720459,ok,,588,470,0,148,,30,1e-05,True,26.34537148475647,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7033898305084746,0.7457627118644068,,,19,True,False,,random,none,,,,,,True
