dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9452242905096124,0.9305718971453721,0.580869964641663,0.8358693771164262,0.16539627666962048,31.549978256225586,12.64788007736206,ok,,26215,20972,0,6554,0.20145424455404282,True,0.1,False,30,1e-05,True,31.326555252075195,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=32769>=2000,30,3,epoch_chunk,accuracy,0.9488842265878314,0.9498378790768643,0.9488842265878314,0.9498378790768643,2,True,False,,f_mmd,test,standardized_l2,3.6268547065954078,0.7188123557025776,,True
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9880619761239523,0.9880733760592986,0.987740767303567,0.9991698819002449,0.03285586994161484,68.99707436561584,20.304658889770508,ok,,31492,25193,0,7874,0.02949456311762333,True,0.1,False,66,1e-05,True,68.74145936965942,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=39366>=2000,30,3,epoch_chunk,accuracy,0.9871408160025401,0.9882521035084935,0.9871408160025401,0.9882521035084935,14,True,False,,f_mmd,test,standardized_l2,4.266356135759504,0.7553151369521889,,True
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8166116332232665,0.8149354946773739,0.7893788148952556,0.8844784184425829,0.40381911496539113,61.823387145996094,20.585874319076538,ok,,31492,25193,0,7874,0.4527328312397003,True,0.1,False,57,1e-05,True,61.503966093063354,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=39366>=2000,30,3,epoch_chunk,accuracy,0.805048420384188,0.8096523257659946,0.805048420384188,0.8096523257659946,11,True,False,,f_mmd,test,standardized_l2,1.8408121454446684,0.11260489798366617,,True
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7052238805970149,0.7037074294809892,0.6826718639262934,0.7432671863926293,0.5779448627367926,3.345965623855591,0.400592565536499,ok,,1072,857,0,268,0.6099412739276886,True,0.1,True,8,1e-05,True,3.31193470954895,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1340<2000,30,1,epoch_chunk,accuracy,0.7581395348837209,0.7581395348837209,0.7581395348837209,0.7581395348837209,0,True,False,,f_mmd,test,standardized_l2,4.580026916701443,1.8472818550739794,,True
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.734,0.7335426830883847,0.7339764029310704,0.8007744451508393,0.5421019989156881,98.34176516532898,60.19929385185242,ok,,56000,44800,0,14000,0.5484641790390015,True,0.1,False,75,1e-05,True,97.83914947509766,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=70000>=2000,30,5,epoch_chunk,accuracy,0.7303571428571428,0.7335714285714285,0.7303571428571428,0.7335714285714285,7,True,False,,f_mmd,test,standardized_l2,6.554668299698499,33.66639040487303,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9791666666666666,0.9791724553116606,0.9796996662958843,0.995950361512792,0.06737519662057063,7.530790328979492,0.9323329925537109,ok,,1920,1536,0,480,0.14053483307361603,True,0.1,False,12,1e-05,True,7.455628156661987,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9661458333333334,0.96875,0.9661458333333334,0.96875,4,True,False,,f_mmd,test,standardized_l2,3.474111017300537,0.5011058777592405,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9625,0.9625097671511172,0.9631535038932146,0.9924395161290323,0.10942704792639617,5.4486985206604,0.9342315196990967,ok,,1920,1536,0,480,0.08431468531489372,True,0.1,False,10,1e-05,True,5.378470182418823,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9713541666666666,0.9765625,0.9713541666666666,0.9765625,2,True,False,,f_mmd,test,standardized_l2,2.7700159416008105,0.3098385256639133,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9625,0.9625104195609891,0.9630144605116797,0.9938994716351501,0.09938280582012107,9.201101303100586,0.919928789138794,ok,,1920,1536,0,480,0.10316714644432068,True,0.1,False,18,1e-05,True,9.129693031311035,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9505208333333334,0.9583333333333334,0.9505208333333334,0.9583333333333334,10,True,False,,f_mmd,test,standardized_l2,3.0647206884737748,0.24268387939459715,,True
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8973214285714286,0.8876877416476654,0.724370274611196,0.9121910134367532,0.24504777202938016,5.652637243270874,0.80810546875,ok,,1792,1433,0,448,0.21600965410470963,True,0.1,False,10,1e-05,True,5.588452577590942,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2240>=2000,30,1,epoch_chunk,accuracy,0.8746518105849582,0.883008356545961,0.8746518105849582,0.883008356545961,2,True,False,,f_mmd,test,standardized_l2,4.672547501062974,1.1700370204343216,,True
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6781818181818182,0.6660239204726935,0.7285595179932528,0.7268632725730295,0.5041213927973524,10.212821245193481,3.074049472808838,ok,,8799,7039,0,2200,0.5008893609046936,True,0.1,False,10,1e-05,True,10.121937990188599,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=10999>=2000,30,1,epoch_chunk,accuracy,0.6823863636363636,0.6835227272727272,0.6823863636363636,0.6835227272727272,2,True,False,,f_mmd,test,standardized_l2,2.462655441028002,0.41320953224361806,,True
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data184/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7508860759493671,0.7506543811671099,0.7498007223301928,0.8264810234243711,0.5122935712427273,14.04495644569397,3.5168092250823975,ok,,7896,6316,0,1975,0.5378931164741516,True,0.1,False,11,1e-05,True,13.87756872177124,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=9871>=2000,30,1,epoch_chunk,accuracy,0.7493670886075949,0.7518987341772152,0.7493670886075949,0.7518987341772152,3,True,False,,f_mmd,test,standardized_l2,4.485100134651286,4.018561708468314,,True
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7140901312036508,0.7140077714402996,0.7136164411144799,0.79003047140579,0.5535009629774319,44.970743894577026,24.802358865737915,ok,,35060,28048,0,8765,0.5555899143218994,True,0.1,False,33,1e-05,True,44.67173433303833,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=43825>=2000,30,3,epoch_chunk,accuracy,0.7129207073588134,0.7180547632629778,0.7129207073588134,0.7180547632629778,3,True,False,,f_mmd,test,standardized_l2,5.709728118445561,4.425062077440993,,True
