dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9446139761977418,0.9301408808770562,0.5805460780019869,0.8353102667364575,0.16567557713558526,25.64899206161499,12.563552141189575,ok,,26215,20972,0,6554,0.22979767620563507,24,1e-05,True,25.426071882247925,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9496471485790577,0.9496471485790577,0.9496471485790577,0.9496471485790577,0,True,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9880619761239523,0.9880723500191027,0.9876530027726588,0.999139793245919,0.03341043151215454,44.58272171020508,20.13961911201477,ok,,31492,25193,0,7874,0.04124126024544239,42,1e-05,True,44.32742357254028,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9868233052865534,0.9874583267185267,0.9868233052865534,0.9874583267185267,6,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8168656337312674,0.814943792124242,0.7885450280145987,0.8844274588688271,0.40350392442134747,55.26416563987732,20.21418523788452,ok,,31492,25193,0,7874,0.4171736091375351,51,1e-05,True,54.942622423172,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8072709953960946,0.8125099222098746,0.8072709953960946,0.8125099222098746,9,True,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7089552238805971,0.7071286922033191,0.6856839121190645,0.7437691944247576,0.5781673036988815,3.168595790863037,0.3982236385345459,ok,,1072,857,0,268,0.5804676115512848,8,1e-05,True,3.1363227367401123,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7627906976744186,0.7627906976744186,0.7627906976744186,0.7627906976744186,0,True,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7343571428571428,0.7339715655515349,0.7343354642728046,0.8012572922472792,0.5419227228973802,91.2749834060669,56.77462649345398,ok,,56000,44800,0,14000,0.5319411158561707,70,1e-05,True,90.77373027801514,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,accuracy,0.7294642857142857,0.7341071428571428,0.7294642857142857,0.7341071428571428,6,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9791666666666666,0.9791720943696627,0.9795606229143493,0.9964717741935484,0.06309178700397476,10.075563907623291,0.9136948585510254,ok,,1920,1536,0,480,0.054444750770926476,20,1e-05,True,9.99945855140686,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9661458333333334,0.9739583333333334,0.9661458333333334,0.9739583333333334,12,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9604166666666667,0.960427492536752,0.9609983314794216,0.992474276974416,0.1086943502147275,4.390136241912842,0.9179444313049316,ok,,1920,1536,0,480,0.10605980455875397,8,1e-05,True,4.315584182739258,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9765625,0.9765625,0.9765625,0.9765625,0,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9645833333333333,0.9645917922751676,0.9648915461624027,0.9941775583982203,0.09606905484072523,8.020523071289062,0.928074836730957,ok,,1920,1536,0,480,0.07751685008406639,16,1e-05,True,7.948213338851929,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9479166666666666,0.9609375,0.9479166666666666,0.9609375,8,True,False,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8950892857142857,0.8857570662108879,0.7230579386531907,0.9135621107063109,0.2435001795262024,3.9326953887939453,0.7759861946105957,ok,,1792,1433,0,448,0.2131049558520317,8,1e-05,True,3.867227792739868,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.883008356545961,0.883008356545961,0.883008356545961,0.883008356545961,0,True,False,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6781818181818182,0.6660239204726935,0.7285595179932528,0.7271062679938968,0.5040085338192674,10.660529136657715,3.0507290363311768,ok,,8799,7039,0,2200,0.5054290294647217,11,1e-05,True,10.570026397705078,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6835227272727272,0.6840909090909091,0.6835227272727272,0.6840909090909091,3,True,False,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data184/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7534177215189873,0.7531791075638887,0.7523158325081457,0.8259946421014137,0.5128065710677325,9.927482604980469,3.450047731399536,ok,,7896,6316,0,1975,0.5463099479675293,8,1e-05,True,9.757559299468994,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7493670886075949,0.7493670886075949,0.7493670886075949,0.7493670886075949,0,True,False,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7151169423844838,0.7149043908541699,0.714393025792773,0.789335596828189,0.5531907164494835,30.42848229408264,24.68558120727539,ok,,35060,28048,0,8765,0.5318715572357178,24,1e-05,True,30.12727117538452,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.7157729606389047,0.7157729606389047,0.7157729606389047,0.7157729606389047,0,True,False,
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.782016348773842,0.7815679029797274,0.7808394269068426,0.8557160691992153,0.47467836350281134,3.7554502487182617,0.4837052822113037,ok,,1465,1172,0,367,0.5428893864154816,10,1e-05,True,3.7111220359802246,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.757679180887372,0.7679180887372014,0.757679180887372,0.7679180887372014,2,True,False,
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7103251568739304,0.7103871174540318,0.7104465423238998,0.787756410577098,0.5538044583805256,49.93155074119568,24.552671432495117,ok,,35060,28048,0,8765,0.5496428906917572,39,1e-05,True,49.58675980567932,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.694095835710211,0.7157729606389047,0.694095835710211,0.7157729606389047,5,True,False,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7302452316076294,0.7299324608330247,0.7303397481587075,0.7938494891898312,0.5522029780388137,3.9304747581481934,0.4779505729675293,ok,,1467,1173,0,367,0.5355115234851837,11,1e-05,True,3.8981661796569824,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7074829931972789,0.7278911564625851,0.7074829931972789,0.7278911564625851,3,True,False,
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data184/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8870370370370371,0.8859470599798045,0.8099708885255748,0.972108743822244,0.30516974087362914,24.596935510635376,3.3766064643859863,ok,,8640,6912,0,2160,0.3065136969089508,22,1e-05,True,24.43377661705017,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8668981481481481,0.875,0.8668981481481481,0.875,14,True,False,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data184/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.68125,0.6756627846893756,0.68125,0.7322265625,0.6032202755530065,5.175663948059082,0.5440394878387451,ok,,1280,1024,0,320,0.6522871851921082,12,1e-05,True,5.115569353103638,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.65234375,0.65625,0.65234375,0.65625,4,True,False,
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data184/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6105263157894737,0.5642756012839115,0.4274593821125921,0.7075879785715437,0.7912087914577348,5.8436737060546875,1.2674338817596436,ok,,3796,3036,0,950,0.7987998723983765,11,1e-05,True,5.791489839553833,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6197368421052631,0.625,0.6197368421052631,0.625,3,True,False,
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/data184/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.7990605427974948,0.8014989650213559,0.7444607621013017,0.8113308838649917,0.42986853261994973,15.654004096984863,6.968423128128052,ok,,15326,12260,0,3832,0.4509778320789337,16,1e-05,True,15.438713312149048,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.806914546640574,0.806914546640574,0.806914546640574,0.806914546640574,0,True,False,
INNHotelsGroup,/home/crc00006699/zh/tabiclv2/data184/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.9036526533425224,0.9030080255437007,0.8843497364296319,0.9641176123582859,0.22032873914994025,73.14183926582336,19.3856680393219,ok,,29020,23216,0,7255,0.2797846794128418,63,1e-05,True,72.71059513092041,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9021364576154376,0.9057546519641626,0.9021364576154376,0.9057546519641626,13,True,False,
Intersectional-Bias-Assessment,/home/crc00006699/zh/tabiclv2/data184/Intersectional-Bias-Assessment,binclass,8800,1760,2200,19,2,0.9445454545454546,0.9445459128569523,0.9445547794910703,0.9901177816291734,0.13167835789583968,14.776399612426758,3.649487018585205,ok,,8800,7040,0,2200,0.10251437872648239,12,1e-05,True,14.622528314590454,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9522727272727273,0.9534090909090909,0.9522727272727273,0.9534090909090909,4,True,False,
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data184/JapaneseVowels,multiclass,7968,1594,1993,14,9,1.0,1.0,1.0,1.0,0.0009639194796180284,14.739300966262817,2.958683490753174,ok,,7968,6374,0,1993,0.003521100152283907,16,1e-05,True,14.635741472244263,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9962358845671268,0.9968632371392723,0.9962358845671268,0.9968632371392723,8,True,False,
KDDCup09_upselling,/home/crc00006699/zh/tabiclv2/data184/KDDCup09_upselling,binclass,4102,821,1026,49,2,0.8089668615984406,0.8067454948028784,0.8089668615984404,0.911091351944948,0.3567979269456625,17.782233953475952,2.4743340015411377,ok,,4102,3281,0,1026,0.355012446641922,16,1e-05,True,17.57001543045044,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8099878197320342,0.8172959805115713,0.8099878197320342,0.8172959805115713,8,True,False,
MIC,/home/crc00006699/zh/tabiclv2/data184/MIC,binclass,1319,264,330,104,2,0.9090909090909091,0.8995772562318263,0.7459413873076113,0.8836882423220185,0.2647532999771276,8.358073472976685,1.4637956619262695,ok,,1319,1055,0,330,0.28901946544647217,8,1e-05,True,8.097631216049194,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.875,0.875,0.875,0.875,0,True,False,
Marketing_Campaign,/home/crc00006699/zh/tabiclv2/data184/Marketing_Campaign,binclass,1792,359,448,27,2,0.8816964285714286,0.8722900651970686,0.7028832216868414,0.9230618560739609,0.24636418184934591,9.21924114227295,0.7932450771331787,ok,,1792,1433,0,448,0.22582220286130905,20,1e-05,True,9.145219087600708,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9052924791086351,0.9192200557103064,0.9052924791086351,0.9192200557103064,12,True,False,
National_Health_and_Nutrition_Health_Survey,/home/crc00006699/zh/tabiclv2/data184/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8355263157894737,0.7913318971559885,0.541739690260739,0.7769233520512178,0.37758539164527954,2.8687663078308105,0.5146405696868896,ok,,1822,1457,0,456,0.41086551547050476,8,1e-05,True,2.838864326477051,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8547945205479452,0.8547945205479452,0.8547945205479452,0.8547945205479452,0,True,False,
PhishingWebsites,/home/crc00006699/zh/tabiclv2/data184/PhishingWebsites,binclass,8844,1769,2211,30,2,0.9800995024875622,0.9800771018843496,0.9787993832789006,0.9987392032361279,0.0453307065018416,14.943027257919312,4.439779996871948,ok,,8844,7075,0,2211,0.07226957008242607,10,1e-05,True,14.676016569137573,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9745618993781797,0.9773883550028265,0.9745618993781797,0.9773883550028265,2,True,False,
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data184/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7272727272727273,0.7179459691252145,0.675,0.8611111111111112,0.4631743014476832,3.5752506256103516,0.4958674907684326,ok,,614,491,0,154,0.5736384987831116,11,1e-05,True,3.550717353820801,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7804878048780488,0.7886178861788617,0.7804878048780488,0.7886178861788617,3,True,False,
Pumpkin_Seeds,/home/crc00006699/zh/tabiclv2/data184/Pumpkin_Seeds,binclass,2000,400,500,12,2,0.882,0.8818763921833047,0.8810897435897436,0.9480288461538461,0.2945540400721545,5.902765512466431,0.6730952262878418,ok,,2000,1600,0,500,0.2601000964641571,16,1e-05,True,5.864117622375488,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8675,0.8775,0.8675,0.8775,8,True,False,
Rain_in_Australia,/home/crc00006699/zh/tabiclv2/data184/Rain_in_Australia,multiclass,116368,23274,29092,18,3,0.8589302901141207,0.8513287007686205,0.7050511541555388,0.9216269824871959,0.3472145457070682,256.5930449962616,255.09548830986023,ok,,116368,93094,0,29092,0.3926908075809479,130,1e-05,True,254.57555747032166,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,10,epoch_chunk,accuracy,0.851422187849102,0.8550743318724757,0.851422187849102,0.8550743318724757,5,True,False,
Shipping,/home/crc00006699/zh/tabiclv2/data184/Shipping,binclass,8799,1760,2200,9,2,0.6872727272727273,0.6764406034040489,0.7308688325262911,0.7328193860790546,0.49932779298229724,13.960400104522705,3.009165048599243,ok,,8799,7039,0,2200,0.5032249093055725,15,1e-05,True,13.875406503677368,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6715909090909091,0.6732954545454546,0.6715909090909091,0.6732954545454546,7,True,False,
VulNoneVul,/home/crc00006699/zh/tabiclv2/data184/VulNoneVul,binclass,4553,911,1139,16,2,0.9894644424934153,0.9842245601854183,0.5,0.8336660751257025,0.050122954392385274,5.337201118469238,1.6344521045684814,ok,,4553,3642,0,1139,0.037991128861904144,8,1e-05,True,5.261373996734619,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9890230515916575,0.9890230515916575,0.9890230515916575,0.9890230515916575,0,True,False,
Waterstress,/home/crc00006699/zh/tabiclv2/data184/Waterstress,binclass,950,190,238,22,2,0.8109243697478992,0.8108943275419379,0.811983032873807,0.8901378579003182,0.41537397725939673,3.3418171405792236,0.9620323181152344,ok,,950,760,0,238,0.5282317399978638,8,1e-05,True,3.296851873397827,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8315789473684211,0.8315789473684211,0.8315789473684211,0.8315789473684211,0,True,False,
abalone,/home/crc00006699/zh/tabiclv2/data184/abalone,multiclass,3341,669,836,8,3,0.6363636363636364,0.6402964871987741,0.6342818619562843,0.8328958431584041,0.7402127507861559,4.813196182250977,1.0013706684112549,ok,,3341,2672,0,836,0.7127324044704437,11,1e-05,True,4.769922494888306,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6890881913303438,0.6935724962630793,0.6890881913303438,0.6935724962630793,3,True,False,
ada,/home/crc00006699/zh/tabiclv2/data184/ada,binclass,3317,664,830,48,2,0.8674698795180723,0.8640921444398283,0.7996717077420961,0.9189149240726912,0.30352459516710084,9.34911060333252,1.9159071445465088,ok,,3317,2653,0,830,0.31234483420848846,11,1e-05,True,9.19619607925415,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8689759036144579,0.8719879518072289,0.8689759036144579,0.8719879518072289,3,True,False,
ada_prior,/home/crc00006699/zh/tabiclv2/data184/ada_prior,binclass,3649,730,913,14,2,0.8521358159912377,0.843807495510604,0.757173039133841,0.8984343894889611,0.3339397460910289,5.569631099700928,1.2572145462036133,ok,,3649,2919,0,913,0.3617335557937622,10,1e-05,True,5.49615216255188,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8356164383561644,0.8383561643835616,0.8356164383561644,0.8383561643835616,2,True,False,
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,/home/crc00006699/zh/tabiclv2/data184/airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,binclass,1600,320,400,7,2,0.6,0.5875631764176655,0.581182305901407,0.676548739750987,0.630902587133864,2.911039113998413,0.4599568843841553,ok,,1600,1280,0,400,0.624298095703125,8,1e-05,True,2.876380205154419,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6625,0.6625,0.6625,0.6625,0,True,False,
allrep,/home/crc00006699/zh/tabiclv2/data184/allrep,multiclass,3017,604,755,29,4,0.9867549668874173,0.9869058278881603,0.8066658512720156,0.9966747577456718,0.03783726635753257,11.252171993255615,1.3259832859039307,ok,,3017,2413,0,755,0.022656193934381008,18,1e-05,True,11.146582841873169,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9867549668874173,0.9917218543046358,0.9867549668874173,0.9917218543046358,10,True,False,
artificial-characters,/home/crc00006699/zh/tabiclv2/data184/artificial-characters,multiclass,8174,1635,2044,7,10,0.9603718199608611,0.9603327773615062,0.9582511331580086,0.9994969539971448,0.08079234621600125,23.582854986190796,2.622229814529419,ok,,8174,6539,0,2044,0.20815065503120422,30,1e-05,True,23.512279272079468,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8825688073394495,0.9418960244648318,0.8825688073394495,0.9418960244648318,24,False,False,
autoUniv-au7-1100,/home/crc00006699/zh/tabiclv2/data184/autoUniv-au7-1100,multiclass,880,176,220,12,5,0.4090909090909091,0.38959034589451047,0.39334366601575677,0.7419663707380393,1.3408587865547743,2.9559578895568848,0.7464876174926758,ok,,880,704,0,220,1.2860556840896606,8,1e-05,True,2.920363664627075,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.5170454545454546,0.5170454545454546,0.5170454545454546,0.5170454545454546,0,True,False,
