dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9447665547757095,0.9329474303027967,0.6016779720765278,0.8369955027613685,0.16743246640759082,49.027934312820435,12.061771631240845,ok,,26215,20972,0,6554,0.21620245277881622,True,0.1,False,54,1e-05,True,48.70911717414856,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=32769>=2000,30,3,epoch_chunk,accuracy,0.9490749570856379,0.9504100705702841,0.9490749570856379,0.9504100705702841,10,True,False,,f_mmd,test,standardized_l2,3.4619756433109368,0.7290008275459197,,True
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9881889763779528,0.9881977134052707,0.987662043662854,0.9991524790799876,0.033043043186558124,31.331480026245117,19.109957456588745,ok,,31492,25193,0,7874,0.040603019297122955,True,0.1,False,30,1e-05,True,31.061425924301147,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=39366>=2000,30,3,epoch_chunk,accuracy,0.9857120177806001,0.9860295284965868,0.9857120177806001,0.9860295284965868,2,True,False,,f_mmd,test,standardized_l2,4.03468127466638,0.7850725487970153,,True
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8158496316992634,0.8126681149893683,0.7821970024525362,0.883758365359219,0.40372518050857525,68.55716609954834,19.31981635093689,ok,,31492,25193,0,7874,0.4482128769159317,True,0.1,False,66,1e-05,True,68.23612356185913,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=39366>=2000,30,3,epoch_chunk,accuracy,0.8071122400381013,0.8102873471979679,0.8071122400381013,0.8102873471979679,14,True,False,,f_mmd,test,standardized_l2,1.585180139223586,0.11227703589247974,,True
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7089552238805971,0.7077771855010662,0.6875738247106071,0.7451570989841719,0.5791810804331816,3.6486682891845703,0.3146932125091553,ok,,1072,857,0,268,0.5205355584621429,True,0.1,True,10,1e-05,True,3.616131067276001,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1340<2000,30,1,epoch_chunk,accuracy,0.7488372093023256,0.7534883720930232,0.7488372093023256,0.7534883720930232,2,True,False,,f_mmd,test,standardized_l2,4.639848744988571,2.2692785611157227,,True
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7330714285714286,0.7327264298896041,0.7330509740574609,0.7994124651142743,0.5452634080057769,127.99545860290527,57.775899171829224,ok,,56000,44800,0,14000,0.5188744366168976,True,0.1,False,100,1e-05,True,127.48882746696472,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=70000>=2000,30,5,epoch_chunk,accuracy,0.731875,0.7325892857142857,0.731875,0.7325892857142857,12,True,False,,f_mmd,test,standardized_l2,9.176271858979947,71.7489327975287,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.96875,0.9687585467395411,0.9693409343715239,0.9912055061179088,0.10069099829143192,7.210555553436279,0.7760934829711914,ok,,1920,1536,0,480,0.07358093932271004,True,0.1,False,14,1e-05,True,7.136844635009766,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.953125,0.9635416666666666,0.953125,0.9635416666666666,6,True,False,,f_mmd,test,standardized_l2,3.235187064973895,0.57722955952411,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9583333333333334,0.9583441857234637,0.9589822024471635,0.9890850945494994,0.14428338750321648,6.023794412612915,0.7134723663330078,ok,,1920,1536,0,480,0.08086822926998138,True,0.1,False,13,1e-05,True,5.954817295074463,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9635416666666666,0.9661458333333334,0.9635416666666666,0.9661458333333334,5,True,False,,f_mmd,test,standardized_l2,2.4236105300425663,0.28423337728137804,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9541666666666667,0.9541786042958101,0.9548109010011123,0.9912228865406008,0.11458708388248993,6.080373525619507,0.7011213302612305,ok,,1920,1536,0,480,0.14779925346374512,True,0.1,False,12,1e-05,True,6.00926947593689,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9270833333333334,0.9453125,0.9270833333333334,0.9453125,4,True,False,,f_mmd,test,standardized_l2,2.788729298338286,0.24399856711095919,,True
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8816964285714286,0.8675279182469449,0.6782818192502056,0.8916245543933874,0.2677239482824219,5.845527648925781,0.5932047367095947,ok,,1792,1433,0,448,0.22214870899915695,True,0.1,False,14,1e-05,True,5.78270697593689,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2240>=2000,30,1,epoch_chunk,accuracy,0.8774373259052924,0.883008356545961,0.8774373259052924,0.883008356545961,6,True,False,,f_mmd,test,standardized_l2,5.096833339744328,1.5476323432049623,,True
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6786363636363636,0.668325581754063,0.7263798576544845,0.7344339108266911,0.5060492923652846,10.473532676696777,2.752877712249756,ok,,8799,7039,0,2200,0.4974740296602249,True,0.1,False,11,1e-05,True,10.381879806518555,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=10999>=2000,30,1,epoch_chunk,accuracy,0.6852272727272727,0.6875,0.6852272727272727,0.6875,3,True,False,,f_mmd,test,standardized_l2,2.215045841396021,0.42010142227020314,,True
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data184/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7468354430379747,0.7466367520910139,0.7458264681833684,0.8245128996339044,0.5154699954508937,28.13883090019226,2.850290536880493,ok,,7896,6316,0,1975,0.5333496034145355,True,0.1,False,25,1e-05,True,27.971698999404907,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=9871>=2000,30,1,epoch_chunk,accuracy,0.7430379746835443,0.759493670886076,0.7430379746835443,0.759493670886076,17,True,False,,f_mmd,test,standardized_l2,4.745602402145033,5.103662296088194,,True
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7132915002852254,0.7133424634828739,0.7132959061467778,0.7883129438492149,0.5550595435757856,36.57085084915161,23.31972312927246,ok,,35060,28048,0,8765,0.5450233817100525,True,0.1,False,30,1e-05,True,36.273035764694214,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=43825>=2000,30,3,epoch_chunk,accuracy,0.7055048488305762,0.718625213918996,0.7055048488305762,0.718625213918996,2,True,False,,f_mmd,test,standardized_l2,5.431161515320854,4.318763294310387,,True
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.7683923705722071,0.7681751818600581,0.7676119136793293,0.83969442958207,0.4956336340330091,2.9275667667388916,0.3715493679046631,ok,,1465,1172,0,367,0.5662013292312622,True,0.1,True,8,1e-05,True,2.8988287448883057,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1832<2000,30,1,epoch_chunk,accuracy,0.7440273037542662,0.7440273037542662,0.7440273037542662,0.7440273037542662,0,True,False,,f_mmd,test,standardized_l2,5.1941268865742245,1.7303308194988347,,True
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7066742726754136,0.7067337793716036,0.7067384797631375,0.7775736734853829,0.5802252976332762,71.27018141746521,23.32546591758728,ok,,35060,28048,0,8765,0.5466279089450836,True,0.1,False,57,1e-05,True,70.68268465995789,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=43825>=2000,30,3,epoch_chunk,accuracy,0.6727039361095265,0.7173416999429549,0.6727039361095265,0.7173416999429549,11,True,False,,f_mmd,test,standardized_l2,4.03607579564577,1.5740468869546798,,True
